Date,Max_Temperature_C,Mean_Humidity_Pct,Daily_Rain_mm
2021-01-01,31.6,70,0.0
2021-01-02,28.9,75,0.0
2021-01-03,28.3,69,0.0
2021-01-04,28.0,66,0.0
2021-01-05,28.4,67,0.4
2021-01-06,29.1,61,0.0
2021-01-07,29.4,71,0.2
2021-01-08,28.9,84,2.8
2021-01-09,30.2,78,0.2
2021-01-10,31.0,76,0.0
2021-01-11,31.3,73,0.0
2021-01-12,32.7,68,0.0
2021-01-13,32.2,62,0.0
2021-01-14,30.5,70,0.0
2021-01-15,28.3,75,0.0
2021-01-16,28.4,73,0.0
2021-01-17,28.1,78,0.0
2021-01-18,28.8,74,0.0
2021-01-19,29.9,61,0.0
2021-01-20,30.4,57,0.0
2021-01-21,28.8,65,0.0
2021-01-22,29.6,75,0.0
2021-01-23,30.6,68,0.0
2021-01-24,29.4,62,0.0
2021-01-25,29.0,64,0.0
2021-01-26,28.0,70,0.0
2021-01-27,27.1,71,0.0
2021-01-28,27.5,71,0.0
2021-01-29,28.2,63,0.0
2021-01-30,30.0,63,0.0
2021-01-31,30.9,62,0.0
2021-02-01,32.6,53,0.0
2021-02-02,32.9,47,0.0
2021-02-03,31.2,53,0.0
2021-02-04,30.2,60,0.0
2021-02-05,29.9,53,0.0
2021-02-06,31.4,45,0.0
2021-02-07,32.8,39,0.0
2021-02-08,32.7,41,0.0
2021-02-09,32.7,49,0.0
2021-02-10,30.9,57,0.0
2021-02-11,32.2,55,0.0
2021-02-12,30.3,61,0.0
2021-02-13,30.3,66,0.0
2021-02-14,30.1,70,0.0
2021-02-15,28.6,72,0.0
2021-02-16,27.8,79,0.0
2021-02-17,28.8,76,0.0
2021-02-18,31.4,66,1.0
2021-02-19,32.0,62,0.1
2021-02-20,32.3,55,0.0
2021-02-21,34.0,45,0.0
2021-02-22,33.1,57,0.0
2021-02-23,31.7,61,0.0
2021-02-24,33.0,60,0.0
2021-02-25,33.0,54,0.0
2021-02-26,30.3,66,0.0
2021-02-27,31.2,69,0.0
2021-02-28,34.3,56,0.0
2021-03-01,35.1,49,0.0
2021-03-02,34.4,44,0.0
2021-03-03,36.2,40,0.0
2021-03-04,36.3,36,0.0
2021-03-05,36.6,43,0.0
2021-03-06,31.4,78,0.0
2021-03-07,32.8,67,0.0
2021-03-08,32.3,64,0.0
2021-03-09,34.8,57,0.0
2021-03-10,32.7,62,0.0
2021-03-11,31.0,71,0.0
2021-03-12,32.7,64,0.0
2021-03-13,35.7,48,0.0
2021-03-14,34.6,46,0.0
2021-03-15,34.6,46,0.0
2021-03-16,33.8,53,0.0
2021-03-17,34.7,53,0.0
2021-03-18,32.5,59,0.0
2021-03-19,32.2,65,0.0
2021-03-20,31.1,75,0.0
2021-03-21,32.0,74,0.0
2021-03-22,33.8,70,0.0
2021-03-23,33.8,52,0.0
2021-03-24,35.5,49,0.0
2021-03-25,38.2,32,0.0
2021-03-26,36.5,31,0.0
2021-03-27,38.6,32,0.0
2021-03-28,33.7,59,0.0
2021-03-29,32.5,78,0.0
2021-03-30,31.4,78,0.0
2021-03-31,30.9,81,0.0
2021-04-01,31.6,78,0.0
2021-04-02,31.0,76,0.1
2021-04-03,30.4,75,0.0
2021-04-04,31.0,76,0.0
2021-04-05,31.7,80,0.0
2021-04-06,33.9,66,0.0
2021-04-07,33.3,70,0.0
2021-04-08,31.5,80,0.0
2021-04-09,32.0,77,0.0
2021-04-10,32.3,77,0.0
2021-04-11,34.1,75,0.0
2021-04-12,33.3,74,0.0
2021-04-13,36.1,67,0.0
2021-04-14,35.3,68,0.0
