Date,Temperature_C,Humidity_Pct,Rainfall_mm,Mosquito_Density_Index,Viral_Cases
2021-01-01,24.6,59.6,0.0,6.9,25
2021-01-02,23.8,65.1,0.0,7.8,16
2021-01-03,24.8,53.2,0.0,3.2,12
2021-01-04,25.8,58.7,0.0,1.6,16
2021-01-05,23.7,55.7,0.0,2.4,15
2021-01-06,23.7,59.5,0.0,7.8,19
2021-01-07,25.9,58.1,0.0,2.5,17
2021-01-08,24.9,55.8,0.0,4.5,13
2021-01-09,23.4,59.7,0.0,5.1,21
2021-01-10,24.7,64.3,0.0,0.0,17
2021-01-11,23.5,57.3,0.0,0.0,17
2021-01-12,23.6,60.5,0.0,6.3,13
2021-01-13,24.5,53.5,0.0,2.1,30
2021-01-14,21.9,54.7,0.0,9.2,39
2021-01-15,22.2,59.7,0.0,8.9,28
2021-01-16,23.6,63.2,0.0,7.9,29
2021-01-17,23.1,59.2,0.0,12.3,23
2021-01-18,24.7,56.9,0.0,4.7,15
2021-01-19,23.3,58.0,0.0,7.6,19
2021-01-20,22.7,53.6,0.0,2.7,32
2021-01-21,26.2,60.1,0.0,14.8,23
2021-01-22,24.2,61.1,0.0,12.9,15
2021-01-23,24.5,56.4,0.0,5.0,15
2021-01-24,22.8,56.4,0.0,6.5,14
2021-01-25,23.9,58.9,0.0,10.4,12
2021-01-26,24.7,56.5,0.0,4.4,15
2021-01-27,23.2,57.8,0.0,2.4,21
2021-01-28,25.1,65.3,0.0,8.5,12
2021-01-29,23.9,57.1,0.0,5.3,20
2021-01-30,24.3,56.7,0.0,5.7,22
2021-01-31,24.0,55.7,0.0,1.7,10
2021-02-01,27.0,60.6,0.0,0.0,9
2021-02-02,24.8,57.4,0.0,5.9,15
2021-02-03,23.6,55.7,0.0,8.6,15
2021-02-04,25.9,62.6,0.0,4.1,25
2021-02-05,23.4,63.0,0.0,10.7,28
2021-02-06,25.2,55.9,0.0,2.2,14
2021-02-07,22.7,51.6,0.0,0.8,30
